"id" "day" "Dose" "LOGTV"
"268" 16 16 0 6.15620944260121
"269" 16 20 0 6.21645850518921
"270" 16 23 0 6.21645850518921
"271" 16 26 0 6.78071161311881
"272" 16 28 0 6.78879788607112
"273" 17 -14 0 2.79760191169363
"274" 17 -12 0 3.36683634425098
"275" 17 -9 0 4.55668230292637
"276" 17 -6 0 5.25721680458777
"277" 17 -2 0 5.5602567463977
"278" 17 0 0 5.98719969884504
"279" 17 2 0 6.33014926424351
"280" 17 5 0 6.05447554809307
"281" 17 7 0 6.72285320093945
"282" 17 9 0 7.30840892376797
"283" 17 12 0 7.52571942761065
"284" 17 14 0 7.52571942761065
"285" 17 16 0 7.57903683373977
"286" 17 20 0 7.887814915046
"287" 17 23 0 7.887814915046
"288" 17 26 0 8.5874814113594
"289" 17 28 0 8.75738761115283
"290" 18 -14 0 2.90876386992421
"291" 18 -12 0 3.01225317715464
"292" 18 -9 0 3.36683634425098
"293" 18 -6 0 3.94848464076413
"294" 18 -2 0 4.62646232637871
"295" 18 0 0 5.0664840413599
"296" 18 2 0 5.34419769106329
"297" 18 5 0 5.85793315448346
"298" 18 7 0 5.54185160750998
"299" 18 9 0 5.34419769106329
"300" 18 12 0 6.60909608635219
"301" 18 14 0 6.60909608635219
"302" 18 16 0 6.98505728750934
"303" 18 20 0 7.16487320339859
"304" 18 23 0 7.16487320339859
"305" 18 26 0 8.2077287716177
"306" 18 28 0 8.28701551941436
"307" 19 -14 0 4.00112162048103
"308" 19 -12 0 3.44377628583231
"309" 19 -9 0 3.94848464076413
"310" 19 -6 0 4.19493921770104
"311" 19 -2 0 4.75697939186316
"312" 19 0 0 5.11648867176129
"313" 19 2 0 5.21175878034478
"314" 19 5 0 5.68313243009953
"315" 19 7 0 5.44627788593082
"316" 19 9 0 5.90227135784578
"317" 19 12 0 6.13141548967439
"318" 19 14 0 6.13141548967439
"319" 19 16 0 6.41527848913218
"320" 19 20 0 6.46613081664571
"321" 19 23 0 6.46613081664571
"322" 19 26 0 6.64502594788593
"323" 19 28 0 6.96367925344854
"324" 20 -14 0 3.77849161280362
"325" 20 -12 0 4.14878172970091
"326" 20 -9 0 5.0664840413599
"327" 20 -6 0 5.54185160750998
"328" 20 -2 0 6.08056316216087
"329" 20 0 0 6.20460073592854
"330" 20 2 0 6.47609763072371
"331" 20 5 0 6.85196511409631
"332" 20 7 0 6.75618790611652
"333" 20 9 0 6.90513523758994
"334" 20 12 0 7.09419631893298
"335" 20 14 0 7.09419631893298
"336" 20 16 0 7.3141015302208
"337" 20 20 0 7.57903683373977
"338" 20 23 0 7.57903683373977
"339" 20 26 0 8.16645632668979
"340" 20 28 0 8.29590004686905
"341" 21 -14 0 3.10906095886099
"342" 21 -12 0 2.79760191169363
"343" 21 -9 0 4.05197394799456
"344" 21 -6 0 4.14878172970091
"345" 21 -2 0 4.98820541160405
"346" 21 0 0 5.52321782751214
"347" 21 2 0 5.5602567463977
"348" 21 5 0 6.05447554809307
"349" 21 7 0 6.09343877769796
"350" 21 9 0 6.56293859835206
"351" 21 12 0 6.75618790611652
"352" 21 14 0 6.75618790611652
"353" 21 16 0 6.7968408007832
"354" 21 20 0 7.15858388600853
"355" 21 23 0 7.15858388600853
"356" 21 26 0 7.98897683623929
"357" 21 28 0 8.22330523557627
"358" 22 -14 0 3.28573551234557
"359" 22 -12 0 3.51696153208646
"360" 22 -9 0 4.48349705667223
"361" 22 -6 0 4.9056157458295
"362" 22 -2 0 5.04084239132095
"363" 22 0 0 5.40627551530758
